city,year,weekofyear,total_cases
iq,2012,22,10
iq,2012,23,10
iq,2012,24,10
iq,2012,25,10
iq,2012,26,10
iq,2012,27,10
iq,2012,28,10
iq,2012,29,10
iq,2012,30,10
iq,2012,31,10
iq,2012,32,10
iq,2012,33,10
iq,2012,34,10
iq,2012,35,10
iq,2012,36,10
iq,2012,37,10
iq,2012,38,10
iq,2012,39,10
iq,2012,40,10
iq,2012,41,10
iq,2012,42,10
iq,2012,43,10
iq,2012,44,10
iq,2012,45,10
iq,2012,46,10
iq,2012,47,10
iq,2012,48,10
iq,2012,49,10
iq,2012,50,10
iq,2012,51,10
iq,2013,1,10
iq,2013,2,10
iq,2013,3,10
iq,2013,4,10
iq,2013,5,10
iq,2013,6,10
iq,2013,7,10
iq,2013,8,10
iq,2013,9,10
iq,2013,10,10
iq,2013,11,10
iq,2013,12,10
iq,2013,13,10
iq,2013,14,10
iq,2013,15,10
iq,2013,16,10
iq,2013,17,10
iq,2013,18,10
iq,2013,19,10
iq,2013,20,10
iq,2013,21,10
iq,2013,22,10
iq,2013,23,10
iq,2013,24,10
iq,2013,25,10
iq,2013,26,10
